tax_id	taxonomy	type	name	kingdom	score	score_normalized	reads	unambiguous	reference_length
71	root|cellular_organisms|Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae|Simonsiella	genus	Simonsiella	Bacteria	36.10804559767066	9.622689086465853E-4	304	3	0
72	root|cellular_organisms|Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae|Simonsiella|Simonsiella_muelleri	species	Simonsiella_muelleri	Bacteria	36.10804559767066	9.622689086465853E-4	304	3	0
75	root|cellular_organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales|Caulobacteraceae|Caulobacter	genus	Caulobacter	Bacteria	0.011111111111111112	2.9610787805778035E-7	1	0	0
245836	root|cellular_organisms|Bacteria|Terrabacteria_group|Actinobacteria|Actinobacteria|Streptosporangiales|Nocardiopsaceae|Nocardiopsis|Nocardiopsis_salina	species	Nocardiopsis_salina	Bacteria	0.3333333333333333	8.88323634173341E-6	1	0	0
458839	root|cellular_organisms|Bacteria|Terrabacteria_group|Actinobacteria|Actinobacteria|Micrococcales|Cellulomonadaceae|Actinotalea	genus	Actinotalea	Bacteria	0.34782608695652173	9.269464008765298E-6	2	0	0
1261635	root|cellular_organisms|Bacteria|Terrabacteria_group|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Roseburia|Roseburia_sp._831b	species	Roseburia_sp._831b	Bacteria	12.799277407150678	3.410970186333849E-4	208	2	3390987
1310788	root|cellular_organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Moraxellaceae|Acinetobacter|Acinetobacter_calcoaceticus/baumannii_complex|Acinetobacter_sp._225588	species	Acinetobacter_sp._225588	Bacteria	0.46313882369735354	1.2342514889807981E-5	56	0	3956118
1261634	root|cellular_organisms|Bacteria|Terrabacteria_group|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Roseburia|Roseburia_sp._499	species	Roseburia_sp._499	Bacteria	29.17488609186307	7.775022251915119E-4	78	24	3360661
1310790	root|cellular_organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Moraxellaceae|Acinetobacter|Acinetobacter_calcoaceticus/baumannii_complex|Acinetobacter_sp._1179249	species	Acinetobacter_sp._1179249	Bacteria	0.7137784825459674	1.9021988868298996E-5	66	0	3938493
1310791	root|cellular_organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Moraxellaceae|Acinetobacter|Acinetobacter_calcoaceticus/baumannii_complex|Acinetobacter_sp._742879	species	Acinetobacter_sp._742879	Bacteria	0.46313882369735354	1.2342514889807981E-5	56	0	4040226
